Account,Action,Opportunity_Name,Current_Revenue,JH_Amount,Change,New_Revenue,Opportunity_ID
Etsy Ireland UC,REDUCE,Etsy Privacy Support Eleanor Power Extension,259369.68,69600.0,-189769.68,69600.0,
Etsy Ireland UC,INCREASE,Etsy Privacy Support Ethan Lee extension June - Aug,29000.0,63800.0,34800.0,63800.0,006Wj00000MDihv
Etsy Ireland UC,INCREASE,Etsy Privacy Support Ethan Lee extension June - Aug,29000.0,84680.0,55680.0,84680.0,006Wj00000MDihv
Etsy Ireland UC,INCREASE,Etsy Privacy Support Ethan Lee extension June - Aug,29000.0,121730.4,92730.4,121730.4,006Wj00000MDihv
Tiktok Information Technologies UK Limited,INCREASE,TikTok DSAR support ODL 2026,88115.62,98601.16,10485.540000000008,98601.16,006Wj00000LbDRl
Tiktok Information Technologies UK Limited,INCREASE,TikTok DSAR support ODL 2026,88115.62,111360.0,23244.380000000005,111360.0,006Wj00000LbDRl
