Id,Name,ACV_Variance_Reason__c,JH_Original_ACV__c,Notes
006Wj00000MztAz,Coillte - November RR Revenue,Run Rate Capture,19488,JH Q4 deal was $19488 PROW Extension. EUDIA shows full run rate $194838
006Wj00000Mztan,Airship - November RR Revenue,Run Rate Capture,,No JH Q4 deal - existing recurring revenue capture
006Wj00000Mzcjf,Creed McStay - November RR Revenue,Run Rate Capture,,No JH Q4 deal - existing recurring revenue capture
006Wj00000Mzcjg,DCEDIY - November RR Revenue,Run Rate Capture,,Historical deal $1.18M in Q1. This is run rate from that deal
006Wj00000Mzcje,Coleman Legal - November RR Revenue,Run Rate Capture,,No JH Q4 deal - existing recurring revenue capture

