Account,Finance_RR,JH_SF_Total,JH_SF_Count,JH_Dec_Expiring,EUDIA_Dec,EUDIA_Dec_Count,EUDIA_All_Total,EUDIA_All_Count,EUDIA_vs_Finance,EUDIA_vs_JH_Dec
Irish Water,440882.33,2969789.1300000004,38,186098.8,434886.02,3,3410671.4600000004,42,-5996.309999999998,248787.22000000003
Etsy,304329.54,940773.38,8,69600.0,259369.68,1,1303102.9200000002,11,-44959.859999999986,189769.68
TikTok,208159.74,3360843.1799999997,31,98601.16,198879.74,1,3657118.54,34,-9280.0,100278.57999999999
Indeed,417845.98,2311976.2199999997,22,104400.0,163565.98,1,2729822.2,27,-254279.99999999997,59165.98000000001
Dropbox,222037.06,319696.0,5,232000.0,222037.06,2,608549.06,8,0.0,-9962.940000000002
