Id,Revenue,Account,Opportunity_Name
006Wj00000MDihv,63800.0,Etsy Ireland UC,Etsy Privacy Support Ethan Lee extension June - Aug
006Wj00000MDihv,84680.0,Etsy Ireland UC,Etsy Privacy Support Ethan Lee extension June - Aug
006Wj00000MDihv,121730.4,Etsy Ireland UC,Etsy Privacy Support Ethan Lee extension June - Aug
006Wj00000LbDRl,98601.16,Tiktok Information Technologies UK Limited,TikTok DSAR support ODL 2026
006Wj00000LbDRl,111360.0,Tiktok Information Technologies UK Limited,TikTok DSAR support ODL 2026
