Opportunity Name (MATCH KEY),Account Name,Revenue (NEW VALUE),Term_Months__c,JH_Original_ACV__c,ACV_Variance_Reason__c
Etsy Privacy Support Eleanor Power Extension,Etsy Ireland UC,69600.0,6,69600.0,Bundle Allocation
Fabiane Arguello 2025 extension,Dropbox International Unlimited Company,180960.0,12,180960.0,No Variance
Indeed DPO ODL,Indeed Ireland Operations Limited,104400.0,9,104400.0,Bundle Allocation
TikTok DSAR Support ODL Extension 1 Tara Bannon,Tiktok Information Technologies UK Limited,98601.16,6,98601.16,Bundle Allocation
Uisce Eireann CDS Jamie O'Gorman extension August December,Uisce Eireann (Irish Water),78601.6,5,78601.6,Bundle Allocation
