Opportunity_ID,Opportunity_Name,Account_Name,Current_Revenue,New_Revenue,Change,Term_Months,End_Date,JH_Original_ACV__c,ACV_Variance_Reason__c
,Etsy Privacy Support Eleanor Power Extension,Etsy Ireland UC,259369.68,69600.0,-189769.68,6,12/31/2025,69600.0,Bundle Allocation
,Fabiane Arguello 2025 extension,Dropbox International Unlimited Company,170997.06,180960.0,9962.940000000002,12,12/31/2025,180960.0,No Variance
,Indeed DPO ODL,Indeed Ireland Operations Limited,163565.98,104400.0,-59165.98000000001,9,12/24/2025,104400.0,Bundle Allocation
,TikTok DSAR Support ODL Extension 1 Tara Bannon,Tiktok Information Technologies UK Limited,198879.74,98601.16,-100278.57999999999,6,12/31/2025,98601.16,Bundle Allocation
,Uisce Eireann CDS Jamie O'Gorman extension August December,Uisce Eireann (Irish Water),327388.82,78601.6,-248787.22,5,12/28/2025,78601.6,Bundle Allocation
