JH_Account,JH_Opp,JH_ACV,JH_Term,JH_End,JH_ID,EUDIA_Opp,EUDIA_Rev,EUDIA_Term,EUDIA_End,EUDIA_ID,Rev_Variance,Term_Match,Match_Score,Status
Airship Group Inc,Airship 1 Year ODL Mat Leave Oct,217748.57,14.0,2025-12-10,006IV00000PNPlh,NOT FOUND,,,,,,N/A,0,MISSING IN EUDIA
Aramark Ireland,Aramark Paralegal Support,8700.0,1.0,2025-12-24,006IV0000139f6Y,Aramark Paralegal Support,8700.0,1.0,12/21/2025,006Wj00000MDigS,0.0,YES,3,MATCHED
CommScope Technologies LLC,CommScope Extension Conor Hassett,40601.16,3.0,2026-01-31,006IV00000mMG2a,CommScope Extension Conor Hassett,158201.4,3.0,1/6/2026,006Wj00000MDih9,117600.23999999999,YES,4,MATCHED
Datalex (Ireland) Limited,Datalex Extension RL 2024 (2),106488.0,12.0,2025-12-31,006IV00000VNLBZ,Datalex Extension RL 2024 (2),2368.51,12.0,12/31/2025,006Wj00000MDihP,-104119.49,YES,5,MATCHED
Etsy Ireland UC,Etsy Privacy Program Manager Sept 25,44959.86,4.0,2026-01-23,006IV00000sQpKk,Etsy Privacy Program Manager Sept 25,44959.86,4.0,1/23/2026,006Wj00000MDiht,0.0,YES,6,MATCHED
Etsy Ireland UC,Etsy Privacy Support Eleanor Power Extension,69600.0,6.0,2025-12-31,006IV00000aOhBz,Etsy Privacy Support Eleanor Power Extension,259369.68,6.0,12/18/2025,006Wj00000MDihu,189769.68,YES,6,MATCHED
Dropbox International Unlimited Com,Fabiane Arguello 2025 Expansion Hours Increas,51040.0,7.0,2025-12-31,006IV00000nmgwo,Fabiane Arguello 2025 Expansion Hours Increas,51040.0,7.0,12/15/2025,006Wj00000MDihx,0.0,YES,6,MATCHED
Dropbox International Unlimited Com,Fabiane Arguello 2025 extension,180960.0,12.0,2025-12-31,006IV00000VkWPd,Fabiane Arguello 2025 extension,170997.06,12.0,12/20/2025,006Wj00000MDihy,-9962.940000000002,YES,4,MATCHED
Glanbia Management Services Limited,Glanbia Secondment Extension (Eoin O'Cuillean,32538.0,6.0,2025-12-31,006IV00000fL0zv,Glanbia Secondment Extension (Eoin O'Cuillean,90341.33,13.0,12/12/2026,006Wj00000MDijK,57803.33,NO,5,MATCHED
