Account,EUDIA_Rev,JH_ACV,Variance,EUDIA_Opps,JH_Opps,Status
McDermott Creed & Martyn,0.0,585367.3200000001,-585367.3200000001,0,4,JH ONLY
Mediolanum,0.0,75400.0,-75400.0,0,1,JH ONLY
Morgan Stanley & Co. International PLC,0.0,21750.0,-21750.0,0,1,JH ONLY
NBI Infrastructure DAC,0.0,31581.0,-31581.0,0,2,JH ONLY
OKG Payments Services Limited,0.0,121800.0,-121800.0,0,2,JH ONLY
Poe Kiely Hogan Lanigan,0.0,52200.0,-52200.0,0,1,JH ONLY
StepStone Group Europe Alternative Inves,0.0,240817.16,-240817.16,0,5,JH ONLY
Twitter International Unlimited Company,0.0,159210.0,-159210.0,0,2,JH ONLY
Uisce Éireann (Irish Water),0.0,956495.67,-956495.67,0,19,JH ONLY
VOLA.RO SRL,0.0,8073.6,-8073.6,0,1,JH ONLY
Wayflyer,0.0,151380.0,-151380.0,0,5,JH ONLY
Zurich Irish Life plc,0.0,58000.0,-58000.0,0,1,JH ONLY
