Account,Opportunity_Name,Opportunity_ID,Current_Revenue,New_Revenue,Change,Reason
Etsy Ireland UC,Etsy Privacy Support Eleanor Power Extension,006Wj00000MDihu,259369.68,69600.0,-189769.68,"JH shows $69,600 for this contract"
Tiktok Information Technologies UK Limited,TikTok DSAR Support ODL Extension 1 Tara Bannon,006Wj00000MDisG,198879.74,98601.16,-100278.57999999999,"JH shows $98,601 for this contract"
Indeed Ireland Operations Limited,Indeed DPO ODL,006Wj00000MDijz,163565.98,104400.0,-59165.98000000001,"JH shows $104,400 for this contract"
Teamwork Crew Limited,Teamwork extension no.4 David Casey (June-Dec),006Wj00000MDirn,70357.99,36748.8,-33609.19,"JH shows $36,749 for this contract"
Taoglas Limited,Taoglas ODL Support 2025,006Wj00000MDji7,54982.64,34800.0,-20182.64,"JH shows $34,800 for this contract"
Datalex (Ireland) Limited,Datalex Extension RL 2024 (2),006Wj00000MDihP,2368.51,106488.0,104119.49,"JH shows $106,488 for December 2025 expiring contract"
Dropbox International Unlimited Company,Fabiane Arguello 2025 extension,006Wj00000MDihy,170997.06,180960.0,9962.940000000002,"JH shows $180,960 for this contract"
Tiktok Information Technologies UK Limited,TikTok DSAR support ODL 2026,006Wj00000LbDRl,88115.62,111360.0,23244.380000000005,"Absorb redistribution from Dec extension - JH shows $111,360"
