Id,Account,Opportunity,Current_Term,Term_Correction,Current_Revenue,JH_Original_ACV__c
006Wj00000MDihP,Datalex (Ireland) Limited,Datalex Extension RL 2024 (2),12,6.0,2368.51,53244.0
006Wj00000Mzcjg,"Department of Children, Disability and E",DCEDIY - November RR Revenue,12,2.0,37152.91,1189000.0
006Wj00000LbDRh,Dropbox International Unlimited Company,Dropbox 2026 Extension Fabiane Arguello,12,5.0,66816.0,76560.0
006Wj00000MDijS,Hayes Solicitors LLP,Hayes MUT Discovery,12,2.0,69386.58,174000.0
006Wj00000MDikU,Kingspan,Kingspan ODL Contracts Project,12,0.0,97085.7,8120.0
006Wj00000MDilr,OpenAi,Privacy team expansion,20,3.0,100000.0,52200.0
006Wj00000MDjio,Orsted,Orsted ODL Opp April,12,6.0,104079.87,69601.16
006Wj00000MDils,OpenAi,Privacy team expansion,15,3.0,132498.51,52200.0
